CMDLINE C:\Users\Acer\AppData\Local\Programs\Python\Python311\python.exe cli.py
MEM 1.710938 1749533611.1713
MEM 16.472656 1749533611.2719
MEM 24.500000 1749533611.3722
MEM 29.230469 1749533611.4727
MEM 33.820312 1749533611.5732
MEM 36.898438 1749533611.6735
MEM 39.867188 1749533611.7741
MEM 42.511719 1749533611.8747
MEM 46.496094 1749533611.9749
MEM 50.171875 1749533612.0756
MEM 53.910156 1749533612.1761
MEM 57.035156 1749533612.2765
MEM 67.984375 1749533612.3775
MEM 62.765625 1749533612.4778
MEM 62.851562 1749533612.5783
MEM 64.867188 1749533612.6787
MEM 65.953125 1749533612.7793
MEM 69.179688 1749533612.8801
MEM 71.648438 1749533612.9803
MEM 71.957031 1749533613.0813
MEM 72.292969 1749533613.1842
MEM 72.292969 1749533613.2856
MEM 72.292969 1749533613.3859
MEM 72.292969 1749533613.4867
MEM 72.292969 1749533613.5870
MEM 72.292969 1749533613.6876
MEM 72.292969 1749533613.7877
MEM 72.292969 1749533613.8882
MEM 72.292969 1749533613.9888
MEM 72.292969 1749533614.0891
MEM 72.292969 1749533614.1894
MEM 72.292969 1749533614.2915
MEM 72.292969 1749533614.3926
MEM 72.292969 1749533614.4929
MEM 72.292969 1749533614.5937
MEM 72.292969 1749533614.6943
MEM 72.292969 1749533614.7948
MEM 72.292969 1749533614.8953
MEM 72.292969 1749533614.9960
MEM 72.292969 1749533615.0965
MEM 72.292969 1749533615.1970
MEM 72.292969 1749533615.2976
MEM 72.292969 1749533615.3982
MEM 72.292969 1749533615.4986
MEM 72.292969 1749533615.5991
MEM 72.292969 1749533615.6997
MEM 72.292969 1749533615.8007
MEM 72.292969 1749533615.9014
MEM 72.292969 1749533616.0018
MEM 72.292969 1749533616.1029
MEM 72.292969 1749533616.2035
MEM 72.292969 1749533616.3041
MEM 72.292969 1749533616.4050
MEM 72.292969 1749533616.5053
MEM 72.292969 1749533616.6060
MEM 72.292969 1749533616.7065
MEM 72.292969 1749533616.8070
MEM 72.292969 1749533616.9077
MEM 72.292969 1749533617.0085
MEM 72.292969 1749533617.1092
MEM 72.292969 1749533617.2097
MEM 72.292969 1749533617.3106
MEM 72.292969 1749533617.4112
MEM 72.292969 1749533617.5124
MEM 72.292969 1749533617.6132
MEM 72.292969 1749533617.7139
MEM 72.292969 1749533617.8142
MEM 72.292969 1749533617.9146
MEM 72.292969 1749533618.0151
MEM 72.292969 1749533618.1157
MEM 72.292969 1749533618.2159
MEM 72.292969 1749533618.3165
MEM 72.292969 1749533618.4170
MEM 72.292969 1749533618.5176
MEM 72.292969 1749533618.6182
MEM 72.292969 1749533618.7184
MEM 72.292969 1749533618.8188
MEM 72.292969 1749533618.9196
MEM 72.292969 1749533619.0202
MEM 72.292969 1749533619.1210
MEM 72.292969 1749533619.2216
MEM 72.292969 1749533619.3222
MEM 72.292969 1749533619.4226
MEM 72.292969 1749533619.5233
MEM 72.292969 1749533619.6240
MEM 72.292969 1749533619.7246
MEM 72.292969 1749533619.8250
MEM 72.292969 1749533619.9260
MEM 72.292969 1749533620.0266
MEM 72.292969 1749533620.1273
MEM 72.292969 1749533620.2278
MEM 72.292969 1749533620.3285
MEM 72.292969 1749533620.4291
MEM 72.292969 1749533620.5298
MEM 72.292969 1749533620.6305
MEM 72.292969 1749533620.7313
MEM 72.292969 1749533620.8323
MEM 72.292969 1749533620.9330
MEM 72.292969 1749533621.0338
MEM 72.292969 1749533621.1348
MEM 72.292969 1749533621.2354
MEM 72.292969 1749533621.3359
MEM 72.292969 1749533621.4362
MEM 72.292969 1749533621.5369
MEM 72.292969 1749533621.6374
MEM 72.292969 1749533621.7379
MEM 72.292969 1749533621.8388
MEM 72.292969 1749533621.9392
MEM 72.292969 1749533622.0402
MEM 72.292969 1749533622.1414
MEM 72.292969 1749533622.2418
MEM 72.292969 1749533622.3421
MEM 72.292969 1749533622.4428
MEM 72.292969 1749533622.5435
MEM 72.292969 1749533622.6445
MEM 72.292969 1749533622.7450
MEM 72.292969 1749533622.8455
MEM 72.292969 1749533622.9465
MEM 72.292969 1749533623.0469
MEM 72.292969 1749533623.1476
MEM 72.292969 1749533623.2477
MEM 72.292969 1749533623.3483
MEM 72.292969 1749533623.4488
MEM 72.292969 1749533623.5493
MEM 72.292969 1749533623.6497
MEM 72.292969 1749533623.7501
MEM 72.292969 1749533623.8505
MEM 72.292969 1749533623.9511
MEM 72.292969 1749533624.0518
MEM 72.292969 1749533624.1523
MEM 72.292969 1749533624.2528
MEM 72.292969 1749533624.3535
MEM 72.292969 1749533624.4539
MEM 72.292969 1749533624.5547
MEM 72.292969 1749533624.6552
MEM 72.292969 1749533624.7557
MEM 72.292969 1749533624.8563
MEM 72.292969 1749533624.9571
MEM 72.292969 1749533625.0577
MEM 72.292969 1749533625.1579
MEM 72.292969 1749533625.2586
MEM 72.292969 1749533625.3604
MEM 72.292969 1749533625.4615
MEM 72.292969 1749533625.5622
MEM 72.292969 1749533625.6629
MEM 72.292969 1749533625.7635
MEM 72.292969 1749533625.8638
MEM 72.292969 1749533625.9643
MEM 72.292969 1749533626.0652
MEM 72.292969 1749533626.1656
MEM 72.292969 1749533626.2662
MEM 72.292969 1749533626.3669
MEM 72.292969 1749533626.4674
MEM 72.292969 1749533626.5681
MEM 72.292969 1749533626.6686
MEM 72.292969 1749533626.7693
MEM 72.292969 1749533626.8698
MEM 72.292969 1749533626.9702
MEM 72.292969 1749533627.0708
MEM 72.292969 1749533627.1712
MEM 72.292969 1749533627.2719
MEM 72.292969 1749533627.3724
MEM 72.292969 1749533627.4729
MEM 72.292969 1749533627.5737
MEM 72.292969 1749533627.6741
MEM 72.292969 1749533627.7747
MEM 72.292969 1749533627.8751
MEM 72.292969 1749533627.9756
MEM 72.292969 1749533628.0764
MEM 72.292969 1749533628.1772
MEM 72.292969 1749533628.2777
MEM 72.292969 1749533628.3785
MEM 72.292969 1749533628.4794
MEM 72.292969 1749533628.5802
MEM 72.292969 1749533628.6809
MEM 72.292969 1749533628.7816
MEM 72.292969 1749533628.8826
MEM 72.292969 1749533628.9832
MEM 72.292969 1749533629.0841
MEM 72.292969 1749533629.1846
MEM 72.292969 1749533629.2852
MEM 72.292969 1749533629.3862
MEM 72.292969 1749533629.4870
MEM 72.292969 1749533629.5874
MEM 72.292969 1749533629.6882
MEM 72.292969 1749533629.7889
MEM 72.292969 1749533629.8893
MEM 72.292969 1749533629.9898
MEM 72.292969 1749533630.0903
MEM 72.292969 1749533630.1908
MEM 72.292969 1749533630.2912
MEM 72.292969 1749533630.3917
MEM 72.292969 1749533630.4926
MEM 72.292969 1749533630.5930
MEM 72.292969 1749533630.6935
MEM 72.292969 1749533630.7942
MEM 72.292969 1749533630.8946
MEM 72.292969 1749533630.9954
MEM 72.292969 1749533631.0959
MEM 72.292969 1749533631.1969
MEM 72.292969 1749533631.2973
MEM 72.292969 1749533631.3978
MEM 72.292969 1749533631.4998
MEM 72.292969 1749533631.6003
MEM 72.292969 1749533631.7009
MEM 72.292969 1749533631.8017
MEM 72.292969 1749533631.9023
MEM 72.292969 1749533632.0029
MEM 72.292969 1749533632.1035
MEM 72.292969 1749533632.2041
MEM 72.292969 1749533632.3048
MEM 72.292969 1749533632.4054
MEM 72.292969 1749533632.5060
MEM 72.292969 1749533632.6065
MEM 72.292969 1749533632.7073
MEM 72.292969 1749533632.8078
MEM 72.292969 1749533632.9085
MEM 72.292969 1749533633.0089
MEM 72.292969 1749533633.1096
MEM 72.292969 1749533633.2100
MEM 72.292969 1749533633.3106
MEM 72.292969 1749533633.4111
MEM 72.292969 1749533633.5121
MEM 72.292969 1749533633.6125
MEM 72.292969 1749533633.7135
MEM 72.292969 1749533633.8140
MEM 72.292969 1749533633.9144
MEM 72.292969 1749533634.0151
MEM 72.292969 1749533634.1156
MEM 72.292969 1749533634.2160
MEM 72.292969 1749533634.3163
MEM 72.292969 1749533634.4173
MEM 72.292969 1749533634.5177
MEM 72.292969 1749533634.6181
MEM 72.292969 1749533634.7188
MEM 72.292969 1749533634.8194
MEM 72.292969 1749533634.9199
MEM 72.292969 1749533635.0206
MEM 72.292969 1749533635.1212
MEM 72.292969 1749533635.2219
MEM 72.292969 1749533635.3227
MEM 72.292969 1749533635.4236
MEM 72.292969 1749533635.5241
MEM 72.292969 1749533635.6246
MEM 72.292969 1749533635.7250
MEM 72.292969 1749533635.8254
MEM 72.292969 1749533635.9258
MEM 72.292969 1749533636.0265
MEM 72.292969 1749533636.1270
MEM 72.292969 1749533636.2277
MEM 72.292969 1749533636.3282
MEM 72.292969 1749533636.4285
MEM 72.292969 1749533636.5292
MEM 72.292969 1749533636.6299
MEM 72.292969 1749533636.7306
MEM 72.292969 1749533636.8315
MEM 72.292969 1749533636.9322
MEM 72.292969 1749533637.0326
MEM 72.292969 1749533637.1333
MEM 72.292969 1749533637.2337
MEM 72.292969 1749533637.3344
MEM 72.292969 1749533637.4349
MEM 72.292969 1749533637.5355
MEM 72.292969 1749533637.6360
MEM 72.292969 1749533637.7373
MEM 72.292969 1749533637.8385
MEM 72.292969 1749533637.9390
MEM 72.292969 1749533638.0394
MEM 72.292969 1749533638.1402
MEM 72.292969 1749533638.2407
MEM 72.292969 1749533638.3414
MEM 72.292969 1749533638.4422
MEM 72.292969 1749533638.5437
MEM 72.292969 1749533638.6445
MEM 72.292969 1749533638.7452
MEM 72.292969 1749533638.8458
MEM 72.292969 1749533638.9467
MEM 72.292969 1749533639.0473
MEM 72.292969 1749533639.1478
MEM 72.292969 1749533639.2485
MEM 72.292969 1749533639.3493
MEM 72.292969 1749533639.4500
MEM 72.292969 1749533639.5506
MEM 72.292969 1749533639.6515
MEM 72.292969 1749533639.7521
MEM 72.292969 1749533639.8528
MEM 72.292969 1749533639.9533
MEM 72.292969 1749533640.0538
MEM 72.292969 1749533640.1545
MEM 72.292969 1749533640.2551
MEM 72.292969 1749533640.3557
MEM 72.292969 1749533640.4563
MEM 72.292969 1749533640.5568
MEM 72.292969 1749533640.6577
